,Week,Year,away,clock,defense,defense_conference,defense_score,defense_timeouts,distance,down,drive_id,drive_number,game_id,home,id,offense,offense_conference,offense_score,offense_timeouts,period,play_number,play_text,play_type,ppa,scoring,yard_line,yards_gained,yards_to_goal
65,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 5}",Buffalo,Mid-American,3,3,10,1,4005480987,7,400548098,Army,400548098102939401,Army,FBS Independents,14,2,2,1,Raymond Maples run for 3 yds to the Army 15,Rush,-0.16043022196263834,False,12,3,88
66,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 5}",Buffalo,Mid-American,3,3,7,2,4005480987,7,400548098,Army,400548098102939402,Army,FBS Independents,14,2,2,2,Angel Santiago pass complete to Tony Giovannelli for 12 yds to the Army 27 for a 1ST down,Pass Reception,0.95897477932501828,False,15,12,85
67,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 5}",Buffalo,Mid-American,3,3,10,1,4005480987,7,400548098,Army,400548098102939403,Army,FBS Independents,14,2,2,3,Raymond Maples run for 4 yds to the Army 31,Rush,-0.1248442803913914,False,27,4,73
68,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 5}",Buffalo,Mid-American,3,3,6,2,4005480987,7,400548098,Army,400548098102939404,Army,FBS Independents,14,2,2,4,Terry Baggett run for 5 yds to the Army 36,Rush,0.0948673202640151,False,31,5,69
69,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 5}",Buffalo,Mid-American,3,3,1,3,4005480987,7,400548098,Army,400548098102939405,Army,FBS Independents,14,2,2,5,Angel Santiago run for 3 yds to the Army 39 for a 1ST down,Rush,1.1076763578844469,False,36,3,64
70,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 5}",Buffalo,Mid-American,3,3,10,1,4005480987,7,400548098,Army,400548098102939406,Army,FBS Independents,14,2,2,6,Raymond Maples run for 3 yds to the Army 42,Rush,-0.428981456130188,False,39,3,61
71,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 5}",Buffalo,Mid-American,3,3,7,2,4005480987,7,400548098,Army,400548098102939407,Army,FBS Independents,14,2,2,7,"ARMY Penalty, false start (Kelvin White) to the Army 37",Penalty,,False,42,-5,58
72,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 5}",Buffalo,Mid-American,3,3,12,2,4005480987,7,400548098,Army,400548098102939408,Army,FBS Independents,14,2,2,8,Angel Santiago pass complete to Kelvin White for 6 yds to the Army 43,Pass Reception,0.2257239373552196,False,37,6,63
73,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 5}",Buffalo,Mid-American,3,3,6,3,4005480987,7,400548098,Army,400548098102939409,Army,FBS Independents,14,2,2,9,Tony Giovannelli run for 8 yds to the Buff 49 for a 1ST down,Rush,2.3318406242485503,False,43,8,57
74,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 5}",Buffalo,Mid-American,3,3,10,1,4005480987,7,400548098,Army,400548098102939410,Army,FBS Independents,14,2,2,10,Larry Dixon run for 2 yds to the Buff 47,Rush,-0.6159141942829951,False,51,2,49
75,2.0,2014.0,Buffalo,"{'minutes': 6, 'seconds': 5}",Buffalo,Mid-American,3,3,8,2,4005480987,7,400548098,Army,400548098102939411,Army,FBS Independents,14,2,2,11,Terry Baggett run for a loss of 4 yards to the Army 49,Rush,-1.8725308843432087,False,53,-4,47
76,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 19}",Buffalo,Mid-American,3,2,12,3,4005480987,7,400548098,Army,400548098102988001,Army,FBS Independents,14,2,2,12,"Timeout BUFFALO, clock 01:19",Timeout,,False,49,0,51
77,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 19}",Buffalo,Mid-American,3,2,12,3,4005480987,7,400548098,Army,400548098102988002,Army,FBS Independents,14,2,2,13,Angel Santiago pass complete to Kelvin White for 3 yds to the Buff 48,Pass Reception,-0.25760595397382154,False,49,3,51
78,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 14}",Buffalo,Mid-American,3,1,9,4,4005480987,7,400548098,Army,400548098102988501,Army,FBS Independents,14,2,2,14,"Timeout BUFFALO, clock 01:14",Timeout,,False,52,0,48
79,2.0,2014.0,Buffalo,"{'minutes': 1, 'seconds': 14}",Buffalo,Mid-American,3,1,9,4,4005480987,7,400548098,Army,400548098102988502,Army,FBS Independents,14,2,2,15,"Alex Tardieu punt for 47 yds, downed at the Buff 1",Punt,,False,52,0,48
83,2.0,2014.0,Buffalo,"{'seconds': 34, 'minutes': 0}",Buffalo,Mid-American,3,1,8,1,4005480989,9,400548098,Army,400548098102996501,Army,FBS Independents,14,2,2,1,Angel Santiago run for 2 yds to the Buff 6,Rush,-0.209067424082246,False,92,2,8
84,2.0,2014.0,Buffalo,"{'seconds': 22, 'minutes': 0}",Buffalo,Mid-American,3,1,6,2,4005480989,9,400548098,Army,400548098102997701,Army,FBS Independents,21,2,2,2,"Raymond Maples run for 6 yds for a TD, (Daniel Grochowski KICK)",Rushing Touchdown,2.528666992781938,True,94,6,6
85,2.0,2014.0,Buffalo,"{'seconds': 22, 'minutes': 0}",Buffalo,Mid-American,3,1,0,1,40054809810,10,400548098,Army,400548098102997703,Army,FBS Independents,21,2,2,1,"Daniel Grochowski kickoff for 55 yds , Devin Campbell return for 12 yds to the Buff 22",Kickoff,,False,35,12,65
97,2.0,2014.0,Buffalo,"{'minutes': 12, 'seconds': 7}",Buffalo,Mid-American,3,3,10,1,40054809812,12,400548098,Army,400548098103879201,Army,FBS Independents,21,3,3,1,Larry Dixon run for 5 yds to the Army 40,Rush,0.1088137823196469,False,35,5,65
98,2.0,2014.0,Buffalo,"{'minutes': 12, 'seconds': 7}",Buffalo,Mid-American,3,3,5,2,40054809812,12,400548098,Army,400548098103879202,Army,FBS Independents,21,3,3,2,Larry Dixon run for 2 yds to the Army 42,Rush,-0.6596035226890641,False,40,2,60
99,2.0,2014.0,Buffalo,"{'minutes': 12, 'seconds': 7}",Buffalo,Mid-American,3,3,3,3,40054809812,12,400548098,Army,400548098103879203,Army,FBS Independents,21,3,3,3,Larry Dixon run for 4 yds to the Army 46 for a 1ST down,Rush,1.608609213375544,False,42,4,58
100,2.0,2014.0,Buffalo,"{'minutes': 12, 'seconds': 7}",Buffalo,Mid-American,3,3,10,1,40054809812,12,400548098,Army,400548098103879204,Army,FBS Independents,21,3,3,4,Angel Santiago run for 3 yds to the Army 49,Rush,-0.4184086843592085,False,46,3,54
101,2.0,2014.0,Buffalo,"{'minutes': 12, 'seconds': 7}",Buffalo,Mid-American,3,3,7,2,40054809812,12,400548098,Army,400548098103879205,Army,FBS Independents,21,3,3,5,Larry Dixon run for 4 yds to the Buff 47,Rush,-0.1661147459192645,False,49,4,51
