,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,homeAway,id,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,points,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,week,yardsPerPass,yardsPerRushAttempt,year
0,8-18,0,19,0-0,0,0,home,400934568,,,1,0,64,3,7,141,2,,1,31,31:19,0,42,3,0,50,3,248,2,39,7,8-16,,5-46,389,1,8.0,7.8,5.0,2017.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,9.0,,,2017.0
0,0-0,0,20,0-1,0,0,away,400934569,,,0,,,,3,0,1,,,21,35:20,,,,2,59,3,392,3,20,5,10-12,,2-10,392,0,10.0,0.0,6.6,2017.0
0,1-1,1,17,1-2,1,1,home,400934565,0,0,0,0,84,4,3,42,7,1,0,21,32:30,1,25,1,0,57,2,226,4,38,5,5-10,1,6-49,268,1,11.0,42.0,4.0,2017.0
0,1-3,0,25,1-2,1,0,away,400934571,0,0,0,0,88,6,5,27,2,1,0,49,34:13,0,0,1,2,67,7,534,2,42,6,8-11,1,6-65,561,1,12.0,9.0,8.0,2017.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,13.0,,,2017.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,14.0,,,2017.0
0,1-1,0,15,1-1,0,0,away,400934572,,,0,0,34,3,2,20,0,,0,14,31:25,0,-1,1,0,49,2,221,0,38,1,6-11,,2-10,241,0,15.0,20.0,4.5,2017.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,16.0,,,2017.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,17.0,,,2017.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,18.0,,,2017.0
0,10-21,0,18,4-4,2,1,away,401013089,,,0,0,14,1,2,197,0,,1,14,36:06,,,,0,47,1,168,1,36,5,5-14,5,7-69,365,2,1.0,9.4,3.6,2018.0
0,2-8,0,27,2-2,0,2,home,401013367,0,0,0,,,,8,61,7,1,1,38,39:33,0,22,1,0,73,4,444,2,33,5,5-13,0,7-100,505,0,2.0,7.6,6.1,2018.0
0,6-10,0,18,3-4,0,0,home,401013368,,,0,0,11,1,4,162,3,,0,28,40:24,,,,0,66,4,303,3,24,3,11-19,,5-70,465,0,3.0,16.2,4.6,2018.0
